c2186193	422020	1	11.046	gi|344217058|dbj|DF095093.1|	68309
c1808549	124408	1	17.04	gi|344214133|dbj|DF096329.1|	21431
c1509835	57228	1	21.174	gi|344216013|dbj|DF094049.1|	161014
c1509835	57228	1	21.174	gi|344216013|dbj|DF094049.1|	164639
c1509835	57227	1	22.036	gi|344216013|dbj|DF094049.1|	161015
c1509835	57227	1	22.036	gi|344216013|dbj|DF094049.1|	164640
c508997	42467	1	29.627	gi|344213704|dbj|DF095898.1|	1770
c594145	11596	1	35.342	gi|344216538|dbj|DF094574.1|	93144
c594145	11596	1	35.342	gi|344216538|dbj|DF094574.1|	96263
c1808549	150359	1	46.294	gi|344216592|dbj|DF094628.1|	119889
c2186193	437279	1	52.499	gi|344217058|dbj|DF095093.1|	82396
c2034620	97756	1	58.152	gi|344215858|dbj|DF093894.1|	50813
c2034620	97756	1	58.152	gi|344215858|dbj|DF093894.1|	92424
c1210516	212311	1	64.202	gi|344216255|dbj|DF094291.1|	63511
c1210516	212311	1	64.202	gi|344216255|dbj|DF094291.1|	32907
c2478899	58837	1	65.315	gi|344215652|dbj|DF093688.1|	435019
c1509835	37208	1	69.379	gi|344216013|dbj|DF094049.1|	182522
c1470819	169097	1	79.633	gi|344216290|dbj|DF094326.1|	164442
c2478899	126053	1	85.667	gi|344215652|dbj|DF093688.1|	376742
c1470819	187333	1	96.915	gi|344216674|dbj|DF094710.1|	113040
c1527580	252981	1	103.331	gi|344215910|dbj|DF093946.1|	45308
c1609271	3879	1	108.138	gi|344215979|dbj|DF094015.1|	131610
c892540	14439	1	111.206	gi|344214045|dbj|DF096241.1|	27926
c2478899	220048	1	114.571	gi|344215652|dbj|DF093688.1|	291676
c1251121	75418	1	124.37	gi|344215979|dbj|DF094015.1|	72232
c1251121	260210	1	129.214	gi|344217547|dbj|DF095582.1|	29976
c1527580	98965	1	136.492	gi|344215910|dbj|DF093946.1|	185025
c1611709	97106	1	141.452	gi|344216589|dbj|DF094625.1|	96412
c1320377	45618	1	173.138	gi|344213778|dbj|DF095972.1|	21109
c2038744	199348	1	176.539	gi|344215584|dbj|DF093620.1|	183413
c651360	69430	1	180.447	gi|344215584|dbj|DF093620.1|	404582
c2104237	24907	1	182.45	gi|344215584|dbj|DF093620.1|	501934
c2104237	23426	1	183.266	gi|344215584|dbj|DF093620.1|	500451
c2038744	245482	1	187.576	gi|344215584|dbj|DF093620.1|	142456
c2038744	90500	1	191.445	gi|344215584|dbj|DF093620.1|	312366
c2104237	392669	1	201.849	gi|344216954|dbj|DF094990.1|	30897
c2104237	362335	1	206.63	gi|344216954|dbj|DF094990.1|	57757
c605911	11288	1	210.535	gi|344216204|dbj|DF094240.1|	151842
c2104237	392354	1	217.646	gi|344216954|dbj|DF094990.1|	31212
c1276264	96756	1	233.105	gi|344216588|dbj|DF094624.1|	115814
c1276264	41583	1	237.255	gi|344216588|dbj|DF094624.1|	34928
c1186919	157065	1	245.322	gi|344216419|dbj|DF094455.1|	101603
c1276264	41566	1	252.394	gi|344216588|dbj|DF094624.1|	34911
c147367	91718	1	270.201	gi|344216214|dbj|DF094250.1|	31253
c1594382	87162	1	271.633	gi|344215665|dbj|DF093701.1|	138365
c2430742	127170	1	274.251	gi|344216236|dbj|DF094272.1|	57367
c882547	17222	1	281.428	gi|344215981|dbj|DF094017.1|	164444
c2396761	555610	1	288.567	gi|344214738|dbj|DF096945.1|	6490
c1238682	63650	1	295.633	gi|344216689|dbj|DF094725.1|	53023
c1238682	63650	1	295.633	gi|344216689|dbj|DF094725.1|	96921
c882547	17219	1	301.203	gi|344215981|dbj|DF094017.1|	164447
c1885556	371966	1	313.66	gi|344215929|dbj|DF093965.1|	222939
c575158	38828	1	317.128	gi|344216264|dbj|DF094300.1|	5084
c1240150	95123	1	353.958	gi|344215665|dbj|DF093701.1|	200729
c898951	46180	1	371.992	gi|344213384|dbj|DF095591.1|	15303
c2430742	156836	1	392.448	gi|344214275|dbj|DF096479.1|	12782
c1885556	164606	1	397.138	gi|344215929|dbj|DF093965.1|	25147
c1885556	164606	1	397.138	gi|344215929|dbj|DF093965.1|	24458
c2430742	156857	1	403.982	gi|344214275|dbj|DF096479.1|	12801
c1451269	29536	1	419.879	gi|344216548|dbj|DF094584.1|	55660
c2430742	152033	1	434.002	gi|344216236|dbj|DF094272.1|	77733
c1451269	115163	1	440.603	gi|344215665|dbj|DF093701.1|	38396
